Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-01-15,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,1,35,2020-01-15,Ohio
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,-3,35,2020-01-15,Ohio
4,1,A.J. Epenesa,Iowa,DL5T,NY Giants,-5,35,2020-01-15,Iowa
5,1,Tua Tagovailoa,Alabama,QB,Miami,-15,35,2020-01-15,Alabama
6,1,Justin Herbert,Oregon,QB,LA Chargers,2,35,2020-01-15,Oregon
7,1,Derrick Brown,Auburn,DL1T,Carolina,4,35,2020-01-15,Alabama
8,1,CeeDee Lamb,Oklahoma,WRF,Arizona,-4,35,2020-01-15,Oklahoma
9,1,Kristian Fulton,LSU,CB,Jacksonville,-2,35,2020-01-15,Louisiana
10,1,Andrew Thomas,Georgia,OT,Cleveland,3,35,2020-01-15,Georgia
11,1,Austin Jackson,USC,OT,NY Jets,1,30,2020-01-15,California
12,1,Isaiah Simmons,Clemson,OLB,Las Vegas,4,30,2020-01-15,South Carolina
13,1,Laviska Shenault,Colorado,WRF,Indianapolis,-11,30,2020-01-15,Colorado
14,1,Yetur Gross-Matos,Penn State,EDGE,Tampa Bay,0,30,2020-01-15,Pennsylvania
15,1,Jerry Jeudy,Alabama,WRF,Denver,10,30,2020-01-15,Alabama
16,1,Curtis Weaver,Boise State,EDGE,Atlanta,-3,30,2020-01-15,Idaho
17,1,Grant Delpit,LSU,S,Dallas,1,30,2020-01-15,Louisiana
18,1,Jedrick Wills,Alabama,OT,Miami (Trade),1,30,2020-01-15,Alabama
19,1,Tee Higgins,Clemson,WRF,Las Vegas (Trade),-4,30,2020-01-15,South Carolina
20,1,Kenneth Murray,Oklahoma,ILB,Jacksonville (Trade),-13,30,2020-01-15,Oklahoma
21,1,Javon Kinlaw,South Carolina,DL3T,Philadelphia,6,25,2020-01-15,South Carolina
22,1,Tristan Wirfs,Iowa,OT,Buffalo,9,25,2020-01-15,Iowa
23,1,Henry Ruggs III,Alabama,WRF,New England,-2,25,2020-01-15,Alabama
24,1,Justin Jefferson,LSU,WRF,New Orleans,-29,25,2020-01-15,Louisiana
25,1,Anfernee Jennings,Alabama,OLB,Minnesota,-6,25,2020-01-15,Alabama
26,1,Tyler Biadasz,Wisconsin,OG,Miami (Trade),0,25,2020-01-15,Wisconsin
27,1,Trevon Diggs,Alabama,CB,Seattle,6,25,2020-01-15,Alabama
28,1,Solomon Kindley,Georgia,OG,Baltimore,0,25,2020-01-15,Georgia
29,1,Jake Fromm,Georgia,QB,Tennessee,-9,25,2020-01-15,Georgia
30,1,Tyler Johnson,Minnesota,WRF,Green Bay,-2,25,2020-01-15,Minnesota
31,1,Jalen Reagor,TCU,WRS,Kansas City,-9,25,2020-01-15,Texas
32,1,C.J. Henderson,Florida,CB,San Francisco,5,25,2020-01-15,Florida
33,2,Cameron Dantzler,Mississippi State,CB,Cincinnati,3,20,2020-01-15,Mississippi
34,2,Mekhi Becton,Louisville,OT,Indianapolis (Trade),-16,20,2020-01-15,Kentucky
35,2,Trey Adams,Washington,OT,Detroit,0,20,2020-01-15,Washington
36,2,K'Lavon Chaisson,LSU,EDGE,NY Giants,-15,20,2020-01-15,Louisiana
37,2,Prince Tega Wanogho,Auburn,OT,LA Chargers,0,20,2020-01-15,Alabama
38,2,Xavier McKinney,Alabama,S,Carolina,2,20,2020-01-15,Alabama
39,2,Jonathan Taylor,Wisconsin,RBF,Miami,21,20,2020-01-15,Wisconsin
40,2,Terrell Lewis,Alabama,EDGE,Arizona,-15,20,2020-01-15,Alabama
41,2,Shane Lemieux,Oregon,OG,Cleveland,2,20,2020-01-15,Oregon
42,2,Jake Hanson,Oregon,OC,Jacksonville,-1,20,2020-01-15,Oregon
43,2,Josh Jones,Houston,OT,Chicago (Trade),-5,20,2020-01-15,Texas
44,2,A.J. Terrell,Clemson,CB,Indianapolis,-15,20,2020-01-15,South Carolina
45,2,Isaiah Wilson,Georgia,OT,Tampa Bay,-2,20,2020-01-15,Georgia
46,2,Bryce Hall,Virginia,CB,Denver,4,20,2020-01-15,Virginia
47,2,Brycen Hopkins,Purdue,TE,Atlanta,-5,20,2020-01-15,Indiana
48,2,Nick Harris,Washington,OC,NY Jets,-6,20,2020-01-15,Washington
49,2,Albert Okwuegbunam,Missouri,TE,Pittsburgh,8,15,2020-01-15,Missouri
50,2,Troy Dye,Oregon,ILB,Chicago,6,15,2020-01-15,Oregon
51,2,Rashard Lawrence,LSU,DL1T,Dallas,-5,15,2020-01-15,Louisiana
52,2,Lucas Niang,TCU,OT,LA Rams,-15,15,2020-01-15,Texas
53,2,K.J. Hamler,Penn State,WRS,Philadelphia,-17,15,2020-01-15,Pennsylvania
54,2,J.K. Dobbins,Ohio State,RBF,Buffalo,25,15,2020-01-15,Ohio
55,2,Travis Etienne,Clemson,RBF,Atlanta (Trade),21,15,2020-01-15,South Carolina
56,2,Julian Okwara,Notre Dame,EDGE,Miami (Trade),-10,15,2020-01-15,Indiana
57,2,Calvin Throckmorton,Oregon,OT,Minnesota,-43,15,2020-01-15,Oregon
58,2,D'Andre Swift,Georgia,RBF,Houston,36,15,2020-01-15,Georgia
59,2,Darrell Taylor,Tennessee,EDGE,Seattle,-21,15,2020-01-15,Tennessee
60,2,Jordyn Brooks,Texas Tech,ILB,Baltimore,-1,15,2020-01-15,Texas
61,2,Zack Baun,Wisconsin,OLB,Tennessee,-7,15,2020-01-15,Wisconsin
62,2,Justin Madubuike,Texas A&M,DL3T,Green Bay,17,15,2020-01-15,Texas
63,2,James Lynch,Baylor,DL5T,Seattle (Trade),14,15,2020-01-15,Texas
64,2,Jeff Gladney,TCU,CB,Kansas City (Trade),-8,15,2020-01-15,Texas
65,3,Michael Pittman Jr.,USC,WRF,Cincinnati,8,10,2020-01-15,California
66,3,Ben Bredeson,Michigan,OG,Washington,8,10,2020-01-15,Michigan
67,3,Malik Harrison,Ohio State,ILB,Detroit,5,10,2020-01-15,Ohio
68,3,Collin Johnson,Texas,WRF,NY Jets (Trade),-5,10,2020-01-15,Texas
69,3,Logan Stenberg,Kentucky,OG,Carolina,4,10,2020-01-15,Kentucky
70,3,Jaylon Johnson,Utah,CB,Miami,-4,10,2020-01-15,Utah
71,3,Hakeem Adeniji,Kansas,OG,LA Chargers,2,10,2020-01-15,Kansas
72,3,Marlon Davidson,Auburn,DL5T,Arizona,1,10,2020-01-15,Alabama
73,3,Netane Muti,Fresno State,OG,Jacksonville,-10,10,2020-01-15,California
74,3,Ashtyn Davis,California,S,Cleveland,-7,10,2020-01-15,California
75,3,Raekwon Davis,Alabama,DL3T,Indianapolis,15,10,2020-01-15,Alabama
76,3,Cam Akers,Florida State,RBF,Tampa Bay,-3,10,2020-01-15,Florida
77,3,Frederick Mauigoa,Washington State,OC,Denver,0,10,2020-01-15,Washington
78,3,Chris Orr,Wisconsin,OLB,Atlanta,0,10,2020-01-15,Wisconsin
79,3,Deommodore Lenoir,Oregon,CB,NY Jets,-3,10,2020-01-15,Oregon
80,3,Davon Hamilton,Ohio State,DL3T,Las Vegas,17,10,2020-01-15,Ohio
81,3,Jacob Phillips,LSU,ILB,Las Vegas (Trade),-5,10,2020-01-15,Louisiana
82,3,Shyheim Carter,Alabama,CB,Dallas,-11,10,2020-01-15,Alabama
83,3,Brandon Jones,Texas,S,Denver (Trade),-4,10,2020-01-15,Texas
84,3,Jonathan Greenard,Florida,EDGE,LA Rams,-11,10,2020-01-15,Florida
85,3,Antoine Winfield Jr.,Minnesota,S,Philadelphia,0,10,2020-01-15,Minnesota
86,3,Donovan Peoples-Jones,Michigan,WRF,Buffalo,10,10,2020-01-15,Michigan
87,3,Jacob Breeland,Oregon,TE,New England,-4,10,2020-01-15,Oregon
88,3,Jacob Eason,Washington,QB,New Orleans,24,10,2020-01-15,Washington
89,3,Brandon Aiyuk,Arizona State,WRF,Minnesota,-4,10,2020-01-15,Arizona
90,3,Tedarrell Slaton,Florida,DL1T,Cleveland (Trade),2,10,2020-01-15,Florida
91,3,Kenny Willekes,Michigan State,EDGE,Las Vegas (Trade),-6,10,2020-01-15,Michigan
92,3,Bradlee Anae,Utah,EDGE,Baltimore,-12,10,2020-01-15,Utah
93,3,Yasir Durant,Missouri,OT,Tennessee,-20,10,2020-01-15,Missouri
94,3,Ezra Cleveland,Boise State,OT,Green Bay,-37,10,2020-01-15,Idaho
95,3,Zack Moss,Utah,RBF,Kansas City,-19,10,2020-01-15,Utah
96,3,Leki Fotu,Utah,DL1T,Denver (Trade),7,10,2020-01-15,Utah
97,4,Larrell Murchison,NC State,DL3T,Cincinnati,-2,8,2020-01-15,North Carolina
98,4,Lamar Jackson,Nebraska,CB,Washington,-10,8,2020-01-15,Nebraska
99,4,Alex Highsmith,Charlotte,EDGE,Detroit,-7,8,2020-01-15,North Carolina
100,4,Evan Weaver,California,ILB,NY Giants,-3,8,2020-01-15,California
101,4,Darryl Williams,Mississippi State,OC,Pittsburgh (Trade),11,8,2020-01-15,Mississippi
102,4,Joe Gaziano,Northwestern,DL5T,LA Chargers,10,8,2020-01-15,Illinois
103,4,Jalen Hurts,Oklahoma,QB,Carolina,57,8,2020-01-15,Oklahoma
104,4,Hunter Bryant,Washington,TE,Arizona,-11,8,2020-01-15,Washington
105,4,Khalid Kareem,Notre Dame,EDGE,Cleveland,-16,8,2020-01-15,Indiana
106,4,Cole Kmet,Notre Dame,TE,Jacksonville,-10,8,2020-01-15,Indiana
107,4,Deonte Brown,Alabama,OG,Tampa Bay,6,8,2020-01-15,Alabama
108,4,Trevis Gipson,Tulsa,DL5T,Denver,10,8,2020-01-15,Oklahoma
109,4,Neville Gallimore,Oklahoma,DL1T,Atlanta,7,8,2020-01-15,Oklahoma
110,4,K'Von Wallace,Clemson,S,NY Jets,0,8,2020-01-15,South Carolina
111,4,Damon Arnette,Ohio State,CB,Las Vegas,-18,8,2020-01-15,Ohio
112,4,Josh Uche,Michigan,OLB,Indianapolis,18,8,2020-01-15,Michigan
