Pick,Round,Player,School,Position,Team,ReachValue,Points,Date
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-01-18
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,2020-01-18
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,-3,35,2020-01-18
4,1,A.J. Epenesa,Iowa,DL5T,NY Giants,-5,35,2020-01-18
5,1,Tua Tagovailoa,Alabama,QB,Miami,-15,35,2020-01-18
6,1,Justin Herbert,Oregon,QB,LA Chargers,+2,35,2020-01-18
7,1,Derrick Brown,Auburn,DL1T,Carolina,+4,35,2020-01-18
8,1,CeeDee Lamb,Oklahoma,WRF,Arizona,-4,35,2020-01-18
9,1,Kristian Fulton,LSU,CB,Jacksonville,-2,35,2020-01-18
10,1,Andrew Thomas,Georgia,OT,Cleveland,+3,35,2020-01-18
11,1,Austin Jackson,USC,OT,NY Jets,+1,30,2020-01-18
12,1,Isaiah Simmons,Clemson,OLB,Las Vegas,+4,30,2020-01-18
13,1,Laviska Shenault,Colorado,WRF,Indianapolis,-10,30,2020-01-18
14,1,Yetur Gross-Matos,Penn State,EDGE,Tampa Bay,+0,30,2020-01-18
15,1,Jerry Jeudy,Alabama,WRF,Denver,+10,30,2020-01-18
16,1,Curtis Weaver,Boise State,EDGE,Atlanta,-3,30,2020-01-18
17,1,Grant Delpit,LSU,S,Dallas,+1,30,2020-01-18
18,1,Jedrick Wills,Alabama,OT,Miami (Trade),+1,30,2020-01-18
19,1,Tee Higgins,Clemson,WRF,Las Vegas (Trade),-3,30,2020-01-18
20,1,Kenneth Murray,Oklahoma,ILB,Jacksonville (Trade),-12,30,2020-01-18
21,1,Javon Kinlaw,South Carolina,DL3T,Philadelphia,+6,25,2020-01-18
22,1,Tristan Wirfs,Iowa,OT,Buffalo,+9,25,2020-01-18
23,1,Henry Ruggs III,Alabama,WRF,New England,-1,25,2020-01-18
24,1,Justin Jefferson,LSU,WRF,New Orleans,-27,25,2020-01-18
